0;0;
24;Able Negroe Men....24;
12 kor..3.27;Able Negroe women 22;
22;Boys under 6 years 3;
5;Girls under 6 years 5;
27/54;Total Humber..54;
St Croix December the 13th 1799 total number of fifty;;
four Slaves large & small which we hereby regarding;;
their number, specified quality & age, testify to be just,;;
Seth & Thos Smith;;
