A list of Negroes belonging to William Carty East End Quarter LB.;;;;;;;;;
;Able negroes;;Macaroons;;Half. Growns;;Children under 12 years;;
;Men;Women;Men;Women;Boys;Girls;Boys;Girls;boys born this year
;Andra;Mary;;;;Dorah;;Betey;Scipio
;Dublin;Dinah;;;;;;Magarit;
;;Nanny;;;;;;Maul;
;;Dorinda;;;;;;Madlane;
;;;;;;;;Piah;
;;;;;;;;Penny;
;;;;;;;;Mary born this year;
;;;;;;;Total number of 15 Slaves;;
;;;;;;;which is just.;;
;;;;;;;St Croix 25 December 1799;;
;;;;;;;Arthur Carty;;
