Totat Number of Negroes on Estate Prosperity;
Able Men....... 53,;Mænd – 79
Maqueroon d°.... 4:;Drenge 8
Half grown Boys.... 8;ditto... 22.        109
Under 12 years D°... 15;Qvinde 83
Able Women.... 43;Piger 18
Half grown Girls.... 6.;101
Under 12 Years d°... 12;210
Maqceroon Women... 12.;föd 3/2
Tradesmen.... 18;död 2/3
House negroes 20;
New Negroes....... 19:;
Boarn....... 6.;
In all Negroes 216;
Louis Hodden;
(Overseer);
