List of Whites & Negroes on Stony Ground Estate estate situated in West End quarter;;;;;;;;;;;
Letter No. 7 & 22 the property of John Hendrick Burnes Esqr.;;;;;;;;;;;
White;;Field Negroes;;Half Grown;;Children;;Macaroons;Births;;
Persons;;Males;Females;Males;Females;Males;Females;Males;Males;Females;Deaths
John H Barnes;;Cudjoe;Susey;Dublin;Fanney;Christian;Jenny;Jack;Joseph;;Quasheba
Deborah Barnes;;Joe;Marian;Alonzo;Juliet;Frederick;Maria;;Richard;;
Willm Barnes;;Hans.;Cumba;Toney.;;Ned;Betsey;;;;
Jno. H. Barnes;;Mondy;Nanny;Harry;;William;Perfou;;;;
Seth S. Barnes;;Cudjoe;Dorah;Goodluck;;Pedro;Louisa;;;;
Hannah Barnes;;York;Betty;Hope;;Christian;Blanch;;;;
Eliza Barnes;;Johnno;Molly;;;David;Bella;;;;
Maria Barnes;;Doram;Isebella;;;;Charlotte;;;;
Samuel J. Barnes;;Dick;Sue;;;;Susanna;;;;
William Guinss;;Jack;Prune;;;;;;;;
;;Shinore;Netta;;;;;;;;
;;Champain;Sally;;;;;;;;
;;Will;Beckey;;;;;;;;
;;Nero;Christiana;;;;;;;;
;;Ralf;Violitte;;;;;;;;
;;Isaac;Louisa;;;;;;;;
;;James;Abigal;;;;;;;;
;;Billy;Antonitta;;;;;;;;
;;John;Myreane;;;;;;;;
;;Elias;Naney;;;;;;;;
;;Saxy;??????;;;;;;;;
;;?????????;???????;;;;;;;;
;;?????????;Cada;;;;;;;;
;;Richard;Sophia;;;;;;;;
;;Cussy;Bella;;;;;;;;
;;Martin;Madlane;;;;;;;;
;;Job;Marote;;;;;;;;
;;Alexander;;;;;;;;;
;;April;;;;;;;Mænd 30;;
;;;;;;;;;Drenge 6;;
;;;;;;;;;Ditto 7;;
