Liste.;;;;;;;;;;
Af Negere på  plantagen Caledonia i Nordsiide Quadrent Litt. A. Nr. 35 Tilhörhende. Hans Major Adam Söbötken;;;;;;;;;;
Forvalter;Qvinde;Drenge;Drenge;Piger;Piger;Födte;Döde;;;Skatbare
Lars Höÿild;;over;under;over;under;;;;;Mænd. 21.
;;12 Aar;12 Aar;12 Aar;12 Aar;;;;;Drenge over 12 Aar 12
;;;;;;;;;;Ditto under 12 Aar .
;;;;;;;;;;I Alt. 37
;;;;;;;;;;Negere hvoraf ingen Skatt
;;;;;;;;;;betales.
;;;;;;;;;;Qvinde 25
;;;;;;;;;;Piger over 12 Aar 13
;;;;;;;;;;Dettes under 12 Aar 1
;;;;;;;;;;39.
;;;;;;;;;;Födte
;;;;;;;;;;Drenge 1
;;;;;;;;;;Døde
;;;;;;;;;;Mænd 1
;;;;;;;;;;Qvinde 2
;;;;;;;;;;Piger 2
;;;;;;;;;;St Croix the 13th December 1799
Mænd;1. Agatha.;1. Julius.;1. Adolph.;1. Levinia;1. Maria;Drenge;Mænd;Qvinde;Piger;for Major Adam Söbötken
1. Hector.;2. Birgitha.;2. Amor;3. Mathias;2. Rosamond;;1. Peter.;Sumper;Beatrice;Perpefera;Fvr Bmmon. E:Z
2. Neptune.;3. Dricilla.;3. Engel.;3. Christian;3. Agnes.;;1.;1.;Carolina.;Paulina;
3. Hendrick.;4. Francisca;i Kiøbenhaven;4. Ludvig;4. Falima.;;;;2.;2.;
4. Hannibal.;5 . Isabella;4. Titus;4.;5. Barbara;;;;;;
5. Bachus.;6. Pustina;5. Nienjaar;;6. Lynetta.;;;;;;
6. Gentier.;7. Philipina;6. Peer.;;7. Cinda.;;;;;;
7. Leopold.;8. Pricilla;7. Ulrich.;;8. Ruth.;;;;;;
8. Lothanieel.;9. Babeth.;8. Sören;;9. Eliza.;;;;;;
9. Philip;10. Venus.;g. Svend.;;10. Peggy;;;;;;
10 Arnholed;11. Zemira.;10. Azor.;;11. Cuba.;;;;;;
11. Apollo;12. Thercdia;11. Leon;;12. Beda;;;;;;
12. Jacob.;13. Theodora;12. December;;13. Dorinda;;;;;;
13. Abeland.;14. Penelope;12.;;13.;;;;;;
14. Hope;15. Bella.;;;;;;;;;
15 Jefrey;10. Bathsheba;;;;;;;;;
16. Frlap.;17. Betto.;;;;;;;;;
17.. Diderich.;18. Pink.;;;;;;;;;
18. Lazar.;19. Ba.;;;;;;;;;
19. Basilius;20. May.;;;;;;;;;
30. Adam;21. Charity;;;;;;;;;
21. Bob.;22. Latunz.;;;;;;;;;
21.;23. Peekla.;;;;;;;;;
;24. - Sabina.;;;;;;;;;
;25. Emilia;;;;;;;;;
;25.;;;;;Mænd 20;;;;
;;;;;;Ditto 12;;;;
;;;;;;Ditto 4 37;;;;
;;;;;;Qvinder 25.;;;;
;;;;;;Pigner. 14 39;;;;
;;;;;;76;;;;
;;;;;;Födte 1/0;;;;
;;;;;;Døde 1/4;;;;
;;;;;;????????? Original listes rigtig Krn i Sune;;;;
;;;;;;L: Höÿild;;;;
