Negroes belonging to Michael Costello;
Men;Mænd 9
Jemmy;Qvinde 1
Frank;10
Fortune;
Richard;
Joe;
Charles;
Clinton;
Glasgow;
Davy Sam;
Women ;
Bridget;
December 12th, 1799;
Mich, Costello;
