unt Misery. Situated in North Side Quarter. No 16;;;;;;;;;;
Letters..A;;;;;;;;;;
or there unto are Rented....... V17.;;;;;;;;;;
James Codwise Esqr.;;;;;;;;;;
House Negroes;;;;Born this year;;deaths;;Macaroons;;
;Women;Boy;;Boys;Girls;Men;;Men;Women;
;Cadei;Addu;;;Cuddelia;March;;Apollo;Sarah;
;;;;;;Grasher;;;;
;1;1.;;;1.;2;;1;1;
Mond 23.;;;;;;;;Föd 0/1;;
Drenge. 7;;;;;;;;död 2/0;;
ditto 7.37.;;;;;;;;;;
Qvinder 21.;;;;;;;;;;
Piger 13    34 - 71;;;;;;;;;;
Recapitulation;;;;;;;;;;
Men......19;;;;;;;;;;
Women--19;;;;;;;;;;
half grone Boys 6;;;;;;;;;;
Do Girls 2;;;;;;;;;;
cheldren under 10 years. Boys.... 7;;;;;;;;;;
Do Do Girls 11;;;;;;;;;;
Trades Men - Men  3;;;;;;;;;;
House Negroes - Women 1;;;;;;;;;;
Do Do Boy 1;;;;;;;;;;
Maiaroons — Men — — — 1;;;;;;;;;;
D° Women — 1;;;;;;;;;;
Births Girls 1;;;;;;;;;;
Total Number 72;;;;;;;;;;
December the 13th. 1799 Jacob Constable;;;;;;;;;;
